day,coin,change
2026-09-25,AAVE,0.0305
2026-09-25,ADA,0.0519
2026-09-25,ARB,-0.0133
2026-09-25,AVAX,0.0193
2026-09-25,BNB,0.1267
2026-09-25,BTC,0.1161
2026-09-25,CASHCAT,0.019
2026-09-25,CRV,0.0115
2026-09-25,DOGE,0.034
2026-09-25,ENA,-0.0229
2026-09-25,ETH,0.1156
2026-09-25,FARTCOIN,-0.0245
2026-09-25,HYPE,0.0426
2026-09-25,LINK,0.0564
2026-09-25,LIT,0.0024
2026-09-25,LTC,0.0299
2026-09-25,NEAR,-0.0268
2026-09-25,ONDO,-0.0188
2026-09-25,PUMP,-0.0091
2026-09-25,SOL,0.0738
2026-09-25,SUI,-0.0127
2026-09-25,TAO,-0.0163
2026-09-25,UNI,-0.0128
2026-09-25,VVV,-0.0134
2026-09-25,WLD,-0.0023
2026-09-25,XMR,0.0234
2026-09-25,XPL,-0.0064
2026-09-25,XRP,0.0426
2026-09-25,ZEC,-0.0037
2026-09-25,kPEPE,0.0375
