day,equity,return_pct,price_pct,funding_pct,cost_pct,gross,net
2025-01-01,9991.86,-0.081,0.0,-0.0,0.081,0.814,0.386
2025-01-02,10040.7,0.489,0.52,-0.0,0.031,0.885,0.442
2025-01-03,10207.03,1.657,1.693,-0.0,0.036,0.88,0.455
2025-01-04,10244.14,0.364,0.39,-0.0,0.026,0.864,0.445
2025-01-05,10249.79,0.055,0.084,-0.0,0.029,0.863,0.442
2025-01-06,10442.83,1.883,1.911,-0.0,0.028,0.88,0.455
2025-01-07,10152.3,-2.782,-2.712,-0.0,0.07,0.8,0.311
2025-01-08,10113.02,-0.387,-0.312,-0.0,0.075,0.849,0.372
2025-01-09,10000.89,-1.109,-1.019,-0.0,0.09,0.769,0.175
2025-01-10,9994.37,-0.065,0.028,-0.0,0.093,0.841,0.356
2025-01-11,10086.06,0.917,0.958,-0.0,0.04,0.833,0.349
2025-01-12,10089.87,0.038,0.075,-0.0,0.037,0.832,0.317
2025-01-13,10031.49,-0.579,-0.539,-0.0,0.04,0.78,0.31
2025-01-14,10085.21,0.535,0.581,-0.0,0.046,0.827,0.385
2025-01-15,10288.58,2.017,2.05,-0.0,0.033,0.826,0.422
2025-01-16,10262.45,-0.254,-0.224,-0.0,0.03,0.793,0.403
2025-01-17,10420.72,1.542,1.58,-0.0,0.037,0.89,0.466
2025-01-18,10628.04,1.989,2.034,-0.0,0.045,0.873,0.489
2025-01-19,10349.41,-2.622,-2.562,-0.0,0.059,0.843,0.434
2025-01-20,10467.98,1.146,1.198,-0.0,0.052,0.829,0.476
2025-01-21,10586.4,1.131,1.162,-0.0,0.031,0.88,0.444
2025-01-22,10517.73,-0.649,-0.613,-0.0,0.036,0.876,0.418
2025-01-23,10552.75,0.333,0.372,-0.0,0.039,0.889,0.4
2025-01-24,10502.95,-0.472,-0.437,-0.0,0.035,0.863,0.414
2025-01-25,10498.38,-0.043,-0.009,-0.0,0.035,0.905,0.441
2025-01-26,10323.07,-1.67,-1.638,-0.0,0.032,0.865,0.408
