day,coin,change
2025-01-01,AAVE,-0.0173
2025-01-01,ADA,0.0065
2025-01-01,ARB,0.0288
2025-01-01,AVAX,0.0078
2025-01-01,BCH,0.0537
2025-01-01,BNB,0.0886
2025-01-01,BTC,0.1046
2025-01-01,CRV,-0.0277
2025-01-01,DOGE,0.0457
2025-01-01,ENA,-0.0282
2025-01-01,ETH,0.0915
2025-01-01,GRASS,-0.0248
2025-01-01,INJ,0.0201
2025-01-01,JUP,0.017
2025-01-01,LDO,-0.0126
2025-01-01,LINK,-0.0245
2025-01-01,LTC,0.0354
2025-01-01,NEAR,0.0136
2025-01-01,ONDO,-0.0275
2025-01-01,SOL,0.0717
2025-01-01,SUI,0.0016
2025-01-01,TAO,-0.0135
2025-01-01,UNI,0.0048
2025-01-01,WLD,-0.0225
2025-01-01,XRP,-0.0076
2025-01-01,ZRO,0.0088
2025-01-01,kPEPE,-0.0081
2025-01-02,AAVE,-0.0073
2025-01-02,ADA,0.0156
2025-01-02,ARB,-0.0047
2025-01-02,AVAX,0.0047
2025-01-02,BCH,-0.0024
2025-01-02,BNB,0.0161
2025-01-02,BTC,0.0325
2025-01-02,CRV,0.001
2025-01-02,DOGE,0.0083
2025-01-02,ENA,0.0032
2025-01-02,ETH,0.0063
2025-01-02,GRASS,-0.0027
2025-01-02,INJ,-0.0218
2025-01-02,JUP,-0.0295
2025-01-02,LDO,-0.0054
2025-01-02,LINK,0.0085
2025-01-02,LTC,0.0069
2025-01-02,NEAR,0.0145
2025-01-02,ONDO,0.0094
2025-01-02,SOL,-0.0278
2025-01-02,SUI,0.0126
2025-01-02,TAO,-0.003
2025-01-02,UNI,-0.0095
2025-01-02,WLD,0.0152
2025-01-02,XRP,0.027
2025-01-02,ZRO,0.0032
2025-01-02,kPEPE,-0.0152
2025-01-03,ADA,-0.0182
2025-01-03,ARB,0.0038
2025-01-03,AVAX,0.0011
2025-01-03,BCH,-0.0056
2025-01-03,BNB,0.0219
2025-01-03,BTC,-0.0066
2025-01-03,CRV,-0.0061
2025-01-03,DOGE,-0.0326
2025-01-03,ENA,0.0101
2025-01-03,ETH,-0.0012
2025-01-03,GRASS,0.0018
2025-01-03,INJ,0.0173
2025-01-03,JUP,0.0424
2025-01-03,LDO,-0.0052
2025-01-03,LINK,0.0097
2025-01-03,LTC,-0.0108
2025-01-03,NEAR,-0.0154
2025-01-03,ONDO,-0.015
2025-01-03,SOL,0.0236
2025-01-03,SUI,-0.0361
2025-01-03,TAO,0.022
2025-01-03,UNI,0.0032
2025-01-03,WLD,-0.0056
2025-01-03,XRP,0.0197
2025-01-03,ZRO,-0.017
2025-01-03,kPEPE,0.0124
2025-01-04,AAVE,0.0131
2025-01-04,ADA,0.0029
2025-01-04,ARB,-0.0545
2025-01-04,AVAX,0.0099
2025-01-04,BCH,-0.0008
2025-01-04,BNB,0.0008
2025-01-04,BTC,0.0117
2025-01-04,CRV,0.0006
2025-01-04,DOGE,-0.0317
2025-01-04,ENA,-0.0066
2025-01-04,ETH,-0.0075
2025-01-04,GRASS,-0.0002
2025-01-04,INJ,-0.0071
2025-01-04,JUP,-0.0105
2025-01-04,LDO,-0.0049
2025-01-04,LINK,0.0057
2025-01-04,LTC,0.0118
2025-01-04,NEAR,0.0141
2025-01-04,ONDO,0.0129
2025-01-04,SOL,-0.0022
2025-01-04,SUI,-0.0042
2025-01-04,TAO,-0.0037
2025-01-04,UNI,0.0061
2025-01-04,WLD,0.0264
2025-01-04,XRP,-0.0014
2025-01-04,ZRO,0.0034
2025-01-04,kPEPE,0.0063
2025-01-05,AAVE,-0.0002
2025-01-05,ADA,-0.0045
2025-01-05,ARB,0.0072
2025-01-05,AVAX,-0.0176
2025-01-05,BCH,0.0051
2025-01-05,BNB,-0.0145
2025-01-05,BTC,0.0096
2025-01-05,CRV,0.0002
2025-01-05,DOGE,0.0272
2025-01-05,ENA,-0.0064
2025-01-05,ETH,0.0031
2025-01-05,GRASS,0.0022
2025-01-05,INJ,-0.0391
2025-01-05,JUP,0.0098
2025-01-05,LDO,0.0079
2025-01-05,LINK,0.003
2025-01-05,LTC,-0.0321
2025-01-05,NEAR,-0.0109
2025-01-05,ONDO,0.0002
2025-01-05,SOL,-0.0082
2025-01-05,SUI,0.0007
2025-01-05,TAO,0.0071
2025-01-05,UNI,0.0141
2025-01-05,WLD,-0.012
2025-01-05,XRP,0.0008
2025-01-05,ZRO,0.0282
2025-01-05,kPEPE,0.0151
2025-01-06,AAVE,-0.0028
2025-01-06,ADA,0.0101
2025-01-06,ARB,0.014
2025-01-06,AVAX,-0.0086
2025-01-06,BCH,-0.0093
2025-01-06,BNB,0.0066
2025-01-06,BTC,-0.0158
2025-01-06,CRV,0.0135
2025-01-06,DOGE,0.0081
2025-01-06,ENA,0.0045
2025-01-06,ETH,0.0131
2025-01-06,GRASS,0.002
2025-01-06,INJ,-0.0069
2025-01-06,JUP,-0.01
2025-01-06,LDO,-0.003
2025-01-06,LINK,-0.013
2025-01-06,LTC,0.0263
2025-01-06,NEAR,-0.0105
2025-01-06,ONDO,0.0089
2025-01-06,SOL,0.0043
2025-01-06,SUI,0.0179
2025-01-06,TAO,0.0001
2025-01-06,UNI,-0.0031
2025-01-06,WLD,-0.0379
2025-01-06,XRP,0.0168
2025-01-06,ZRO,-0.0028
2025-01-06,kPEPE,-0.0088
2025-01-07,AAVE,0.0073
2025-01-07,ADA,-0.036
2025-01-07,ARB,0.0265
2025-01-07,AVAX,0.0109
2025-01-07,BCH,0.0178
2025-01-07,BNB,-0.0685
2025-01-07,BTC,-0.082
2025-01-07,CRV,0.0169
2025-01-07,DOGE,0.0335
2025-01-07,ENA,0.0002
2025-01-07,ETH,-0.0091
2025-01-07,GRASS,-0.0103
2025-01-07,INJ,-0.0003
2025-01-07,JUP,0.0054
2025-01-07,LDO,0.0474
2025-01-07,LINK,0.0117
2025-01-07,LTC,0.0088
2025-01-07,NEAR,0.0004
2025-01-07,ONDO,0.0196
2025-01-07,SOL,-0.0855
2025-01-07,SUI,-0.0042
2025-01-07,TAO,0.028
2025-01-07,UNI,0.0127
2025-01-07,WLD,-0.0002
2025-01-07,XRP,-0.081
2025-01-07,ZRO,-0.0449
2025-01-07,kPEPE,0.0301
2025-01-08,AAVE,-0.0065
2025-01-08,ADA,0.0631
2025-01-08,ARB,-0.0002
2025-01-08,AVAX,0.0076
2025-01-08,BCH,-0.0946
2025-01-08,BNB,0.0554
2025-01-08,BTC,0.0481
